,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Order Date,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
34,35,36,Male,T-shirt,Clothing,91,North Dakota,Violet,1/5/2023,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
35,36,54,Male,Blouse,Clothing,33,Massachusetts,Cyan,1/5/2023,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
36,37,35,Male,T-shirt,Clothing,69,Illinois,Maroon,1/5/2023,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
37,38,35,Male,Jeans,Clothing,45,Indiana,Cyan,1/5/2023,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
38,39,29,Male,Dress,Clothing,37,Florida,Red,1/5/2023,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
39,40,70,Male,Pants,Clothing,60,Arizona,Turquoise,1/5/2023,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
40,41,69,Male,Handbag,Accessories,76,Louisiana,Beige,1/5/2023,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
41,42,67,Male,Scarf,Accessories,39,Alaska,Orange,1/5/2023,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
42,43,20,Male,Coat,Outerwear,100,Tennessee,Beige,1/5/2023,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
43,44,25,Male,Scarf,Accessories,69,Ohio,Lavender,1/5/2023,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
44,45,39,Male,Hat,Accessories,53,Kentucky,Silver,1/5/2023,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
45,46,50,Male,Socks,Clothing,21,Tennessee,Indigo,1/5/2023,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
46,47,57,Male,Shirt,Clothing,43,California,White,1/5/2023,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
47,48,55,Male,Jewelry,Accessories,54,Montana,Charcoal,1/5/2023,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
48,49,42,Male,Shirt,Clothing,55,Nevada,Orange,1/5/2023,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
49,50,68,Male,Hoodie,Clothing,30,New Jersey,Indigo,1/6/2023,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
50,51,49,Male,Blouse,Clothing,28,Maryland,Red,1/6/2023,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
51,52,59,Male,Skirt,Clothing,59,Vermont,Gray,1/6/2023,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
52,53,42,Male,T-shirt,Clothing,20,Alaska,Green,1/6/2023,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
53,54,29,Male,Skirt,Clothing,24,Mississippi,Peach,1/6/2023,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
54,55,47,Male,Coat,Outerwear,94,New Mexico,Brown,1/7/2023,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
55,56,40,Male,Jacket,Outerwear,28,South Carolina,Lavender,1/7/2023,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
56,57,41,Male,Backpack,Accessories,73,Mississippi,Brown,1/7/2023,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
57,58,21,Male,Coat,Outerwear,64,West Virginia,White,1/7/2023,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
58,59,69,Male,Hoodie,Clothing,54,Missouri,Charcoal,1/7/2023,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
59,60,63,Male,Belt,Accessories,79,Louisiana,Yellow,1/7/2023,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
60,61,50,Male,Sweater,Clothing,37,Idaho,Brown,1/7/2023,4,Yes,Express,Yes,Yes,17,Cash,Weekly
61,62,55,Male,Scarf,Accessories,68,Texas,Orange,1/8/2023,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
62,63,30,Male,Sneakers,Footwear,21,Mississippi,Magenta,1/8/2023,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
63,64,33,Male,Sunglasses,Accessories,79,Arizona,Lavender,1/8/2023,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
64,65,65,Male,Boots,Footwear,83,Alabama,Green,1/8/2023,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
65,66,65,Male,Backpack,Accessories,36,New Jersey,Purple,1/8/2023,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
66,67,31,Male,Blouse,Clothing,94,Pennsylvania,Magenta,1/8/2023,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
67,68,45,Male,Coat,Outerwear,33,Connecticut,Gray,1/8/2023,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
68,69,57,Male,Handbag,Accessories,46,Utah,Silver,1/8/2023,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
69,70,48,Male,Belt,Accessories,70,Tennessee,Cyan,1/8/2023,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
70,71,22,Male,Belt,Accessories,29,Alabama,Magenta,1/9/2023,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
71,72,36,Male,Dress,Clothing,48,Virginia,Gold,1/9/2023,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
72,73,18,Male,Dress,Clothing,26,Georgia,Olive,1/9/2023,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
73,74,48,Male,Pants,Clothing,85,Hawaii,Teal,1/9/2023,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
74,75,49,Male,Gloves,Accessories,58,Indiana,Violet,1/9/2023,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
75,76,64,Male,Scarf,Accessories,85,Utah,Blue,1/9/2023,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
76,77,50,Male,Hat,Accessories,43,Delaware,Teal,1/9/2023,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
77,78,22,Male,Dress,Clothing,53,Delaware,Gold,1/9/2023,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
78,79,50,Male,Skirt,Clothing,91,Nebraska,Maroon,1/9/2023,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
79,80,38,Male,Jacket,Outerwear,96,Iowa,Olive,1/9/2023,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
80,81,19,Male,Sandals,Footwear,72,New York,Blue,1/9/2023,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
81,82,67,Male,Shoes,Footwear,96,Virginia,Maroon,1/9/2023,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
82,83,19,Male,Pants,Clothing,28,Georgia,Olive,1/9/2023,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
83,84,36,Male,Dress,Clothing,40,Texas,Turquoise,1/10/2023,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
84,85,52,Male,Coat,Outerwear,32,Arizona,Peach,1/10/2023,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
85,86,53,Male,Sunglasses,Accessories,95,New Mexico,Charcoal,1/10/2023,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
86,87,24,Male,Hoodie,Clothing,41,Nevada,Pink,1/10/2023,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
87,88,52,Male,Shoes,Footwear,53,Ohio,Green,1/10/2023,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
88,89,33,Male,T-shirt,Clothing,47,Wyoming,Orange,1/10/2023,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
89,90,47,Male,Jacket,Outerwear,83,California,Pink,1/11/2023,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
90,91,25,Male,Hat,Accessories,48,South Carolina,Violet,1/11/2023,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
91,92,44,Male,Scarf,Accessories,99,South Carolina,Green,1/11/2023,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
92,93,61,Male,Jacket,Outerwear,87,Texas,Olive,1/11/2023,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
93,94,37,Male,Sweater,Clothing,62,Florida,Purple,1/11/2023,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
94,95,58,Male,Skirt,Clothing,76,Nevada,Silver,1/11/2023,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
95,96,37,Male,Sneakers,Footwear,100,Missouri,Pink,1/11/2023,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
96,97,32,Male,Gloves,Accessories,73,Delaware,Gold,1/12/2023,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
97,98,21,Male,Shoes,Footwear,92,Virginia,Teal,1/12/2023,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
98,99,20,Male,Jeans,Clothing,67,New York,Teal,1/12/2023,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
99,100,26,Male,Hoodie,Clothing,40,Missouri,Indigo,1/12/2023,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
100,101,62,Male,Sunglasses,Accessories,98,South Dakota,Maroon,1/12/2023,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
101,102,27,Male,Coat,Outerwear,85,North Dakota,White,1/13/2023,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
102,103,51,Male,Socks,Clothing,67,Oklahoma,Violet,1/13/2023,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
103,104,54,Male,Boots,Footwear,89,West Virginia,Red,1/13/2023,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
104,105,55,Male,Sunglasses,Accessories,24,New Hampshire,Pink,1/13/2023,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
105,106,69,Male,Backpack,Accessories,96,New York,Charcoal,1/13/2023,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
106,107,64,Male,Jacket,Outerwear,35,Minnesota,White,1/13/2023,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
107,108,28,Male,Sneakers,Footwear,67,Maryland,Olive,1/13/2023,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
108,109,70,Male,Socks,Clothing,79,Montana,Purple,1/14/2023,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
109,110,58,Male,T-shirt,Clothing,85,Alabama,Violet,1/14/2023,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
110,111,56,Male,Backpack,Accessories,26,New York,Black,1/14/2023,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
111,112,26,Male,Belt,Accessories,75,Massachusetts,Purple,1/14/2023,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
112,113,37,Male,Gloves,Accessories,65,Florida,Red,1/14/2023,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
113,114,44,Male,Hat,Accessories,54,New Jersey,Maroon,1/14/2023,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
114,115,70,Male,Coat,Outerwear,95,Massachusetts,Blue,1/14/2023,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
115,116,53,Male,Skirt,Clothing,94,Wyoming,Gray,1/14/2023,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
116,117,55,Male,Shoes,Footwear,86,Virginia,Blue,1/14/2023,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
117,118,50,Male,Sandals,Footwear,32,South Dakota,Yellow,1/14/2023,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
118,119,50,Male,Sweater,Clothing,45,Kentucky,Orange,1/14/2023,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
119,120,38,Male,Coat,Outerwear,76,Wyoming,Orange,1/14/2023,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
120,121,64,Male,Hat,Accessories,84,West Virginia,Red,1/14/2023,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
121,122,19,Male,Shorts,Clothing,72,Virginia,Olive,1/14/2023,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
122,123,40,Male,Backpack,Accessories,40,Washington,Brown,1/15/2023,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
123,124,57,Male,Sweater,Clothing,89,Louisiana,Brown,1/15/2023,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
124,125,44,Male,Sweater,Clothing,86,Nevada,Gray,1/15/2023,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
125,126,49,Male,Shorts,Clothing,54,California,Indigo,1/15/2023,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
126,127,43,Male,Shorts,Clothing,36,Mississippi,Pink,1/15/2023,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
127,128,24,Male,Sweater,Clothing,89,Mississippi,Gray,1/15/2023,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
128,129,20,Male,Scarf,Accessories,32,California,Gold,1/15/2023,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
129,130,24,Male,Dress,Clothing,67,Pennsylvania,Olive,1/15/2023,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
130,131,44,Male,Scarf,Accessories,39,Kentucky,Violet,1/15/2023,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
131,132,28,Male,Skirt,Clothing,29,Maine,Indigo,1/16/2023,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
132,133,30,Male,Backpack,Accessories,58,New Mexico,Orange,1/16/2023,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
133,134,52,Male,Sweater,Clothing,65,Montana,Violet,1/16/2023,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
134,135,43,Male,Hat,Accessories,94,Texas,Gray,1/16/2023,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
135,136,43,Male,Sandals,Footwear,81,Kansas,Purple,1/16/2023,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
136,137,39,Male,Blouse,Clothing,86,South Carolina,White,1/16/2023,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
137,138,68,Male,Sneakers,Footwear,43,Colorado,Turquoise,1/16/2023,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
138,139,68,Male,Skirt,Clothing,29,Georgia,Maroon,1/16/2023,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
139,140,49,Male,Coat,Outerwear,95,Florida,White,1/16/2023,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
140,141,63,Male,Shirt,Clothing,28,North Carolina,Yellow,1/16/2023,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
141,142,56,Male,Gloves,Accessories,46,Virginia,Turquoise,1/17/2023,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
142,143,37,Male,Jacket,Outerwear,58,Nebraska,Violet,1/17/2023,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
143,144,30,Male,Coat,Outerwear,48,Missouri,Beige,1/17/2023,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
144,145,19,Male,Shoes,Footwear,43,New Jersey,Silver,1/17/2023,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
145,146,24,Male,Jewelry,Accessories,95,Missouri,Teal,1/17/2023,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
146,147,52,Male,Skirt,Clothing,30,Colorado,Black,1/17/2023,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
147,148,63,Male,Shoes,Footwear,64,Idaho,Purple,1/17/2023,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
148,149,37,Male,Gloves,Accessories,90,Wyoming,Gray,1/17/2023,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
149,150,38,Male,Pants,Clothing,76,Delaware,White,1/17/2023,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
150,151,35,Male,Boots,Footwear,96,California,Cyan,1/17/2023,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
151,152,28,Male,Sunglasses,Accessories,47,North Dakota,Turquoise,1/17/2023,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
152,153,30,Male,Shirt,Clothing,85,South Carolina,Brown,1/17/2023,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
153,154,69,Male,Hoodie,Clothing,55,North Carolina,Maroon,1/17/2023,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
154,155,41,Male,Dress,Clothing,98,Oklahoma,Charcoal,1/18/2023,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
155,156,63,Male,Socks,Clothing,77,Maine,Olive,1/18/2023,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
156,157,35,Male,Shorts,Clothing,26,Missouri,Lavender,1/18/2023,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
157,158,36,Male,Hat,Accessories,68,Vermont,Yellow,1/18/2023,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
158,159,25,Male,Shirt,Clothing,73,Connecticut,Teal,1/19/2023,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
159,160,58,Male,Gloves,Accessories,27,New Hampshire,Charcoal,1/19/2023,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
160,161,27,Male,Gloves,Accessories,23,Texas,Orange,1/19/2023,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
161,162,65,Male,Backpack,Accessories,49,North Dakota,Olive,1/19/2023,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
162,163,54,Male,Sunglasses,Accessories,74,California,Turquoise,1/19/2023,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
163,164,54,Male,Skirt,Clothing,67,Virginia,Purple,1/19/2023,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
164,165,59,Male,Handbag,Accessories,65,Delaware,Purple,1/19/2023,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
165,166,42,Male,Handbag,Accessories,60,Kentucky,Yellow,1/19/2023,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
166,167,46,Male,Sneakers,Footwear,31,Delaware,Indigo,1/19/2023,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
167,168,33,Male,Gloves,Accessories,27,Arkansas,Green,1/20/2023,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
168,169,34,Male,Shoes,Footwear,80,Louisiana,Magenta,1/20/2023,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
169,170,27,Male,Jacket,Outerwear,30,Nevada,Gold,1/20/2023,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
170,171,52,Male,Shirt,Clothing,25,Wyoming,Maroon,1/20/2023,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
171,172,29,Male,Shorts,Clothing,35,Virginia,Blue,1/20/2023,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
172,173,54,Male,Jewelry,Accessories,67,Nebraska,Violet,1/20/2023,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
173,174,25,Male,Hat,Accessories,46,Hawaii,Turquoise,1/20/2023,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
174,175,41,Male,Shoes,Footwear,35,Vermont,Brown,1/20/2023,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
175,176,53,Male,Coat,Outerwear,86,Oklahoma,Violet,1/20/2023,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
176,177,53,Male,Backpack,Accessories,81,New Hampshire,Black,1/21/2023,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
177,178,21,Male,Hoodie,Clothing,42,Kansas,Magenta,1/21/2023,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
178,179,61,Male,Skirt,Clothing,43,Idaho,Lavender,1/21/2023,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
179,180,64,Male,Boots,Footwear,31,Illinois,Violet,1/21/2023,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
180,181,51,Male,Sandals,Footwear,81,South Dakota,Green,1/21/2023,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
181,182,32,Male,Pants,Clothing,61,Massachusetts,Beige,1/21/2023,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
182,183,38,Male,Gloves,Accessories,96,Alabama,Purple,1/21/2023,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
183,184,58,Male,Skirt,Clothing,29,Ohio,Beige,1/21/2023,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
184,185,32,Male,Sneakers,Footwear,33,Hawaii,Cyan,1/21/2023,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly
185,186,46,Male,T-shirt,Clothing,32,Wisconsin,Silver,1/21/2023,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly
186,187,39,Male,Backpack,Accessories,56,Minnesota,Lavender,1/21/2023,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
187,188,19,Male,Shoes,Footwear,94,Georgia,Purple,1/22/2023,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
